date,rakuya_purchases,criteo_action,criteo_spend,criteo_session,rtbhouse_spend,rtbhouse_action,rtbhouse_sessions,rakuya_fb_dpa_advance_allzone_ASC_Campaign2_action,rakuya_fb_dpa_advance_allzone2_action,rakuya_fb_dpa_advance_allzone_ASC_Campaign2_spend,rakuya_fb_dpa_advance_allzone2_spend,South_15_KSC_spend,South_15_KSC_advance,middle_8_TCC_spend,middle_8_TCC_advance,South_14_TNC_spend,South_14_TNC_advance,North_2_NTPC_spend,North_2_NTPC_advance,middle-9-CHQ-spend,middle-9-CHQ-advance,North-0-TPC-spend,North-0-TPC-advance,South-12-CYC-spend,South-12-CYC-advance,South-13-CYQ-spend,South-13-CYQ-advance,middle-7-MLQ-spend,middle-7-MLQ-advance,middle-10-NTQ-spend,middle-10-NTQ-advance,middle-11-YLQ-spend,middle-11-YLQ-advance,South-17-PTQ-spend,South-17-PTQ-advance,North-6-HSQ-spend,North-6-HSQ-advance,North-3-ILQ-spend,North-3-ILQ-advance,North-1-KLC-spend,North-1-KLC-advance,East-18-TTQ-spend,East-18-TTQ-advance,North-8-HCC-spend,North-8-HCC-advance,East-18-HLQ-spend,East-18-HLQ-advance,middle-20-KMQ-spend,middle-20-KMQ-advance,North-4-TYC-spend,North-4-TYC-advance,South-8-PHQ-spend,South-8-PHQ-advance
2026-01-01,314,0,0,0,"4,621.55",20,8273,82,25,15086,2959,1000.231535,0,1340.575016,1,886.50292,6,1159.384115,4,472.334274,1,517.466459,1,191.416501,0,200.789381,1,272.772161,1,17863.35326,39,17626.755,67,17368.02223,69,15211.85511,53,11932.95484,39,11631.97408,32,11276.76095,29,10172.10316,16,7548.777919,17,5120.460196,4,53985.01291,191,5038.579881,9
2026-01-02,314,0,0,0,"4,091.38",12,8230,57,14,14580,3150,868.316147,4,973.462954,0,833.233986,2,890.569174,4,478.091274,2,468.726493,0,194.350484,0,193.287568,0,211.507817,1,208.292811,1,335.157695,0,167.591162,1,188.719635,0,60.607901,1,66.119394,0,113.938461,0,80.095689,0,105.075317,0,24.434099,0,706.031369,0,45.401915,0
2026-01-03,332,0,0,0,"4,518.64",16,8230,97,17,15506,3555,908.263962,4,929.695573,4,880.007544,1,847.546803,6,459.085954,0,451.154427,0,202.850404,0,138.248769,0,199.180708,0,229.034983,1,255.012452,0,185.296322,0,185.527862,0,91.253607,3,96.46534,0,94.301933,0,82.893733,0,92.358435,0,56.539089,0,693.472325,0,46.98677,0
2026-01-04,293,0,0,0,"4,165.38",15,8203,77,20,15973,2857,939.633372,3,948.545414,1,945.877942,4,865.17995,2,461.525308,2,461.904369,0,206.157802,0,259.945682,0,203.629432,0,267.943911,1,302.344978,2,186.57156,2,191.05877,0,83.170544,2,96.633605,2,94.764315,0,87.318892,0,98.623622,0,41.654747,0,663.146813,0,49.79,0
2026-01-05,298,0,0,0,"4,273.28",12,8198,61,15,14690,3147,968.728626,0,768.277628,2,915.989692,1,768.853099,1,423.08171,2,388.839536,0,193.724069,3,178.381713,1,166.314166,0,205.219978,0,300.442303,0,208.480815,0,192.315719,1,86.068819,1,113.288231,0,106.7791,0,100.885506,0,76.721263,0,50.339224,0,642.226476,1,48.064256,0
2026-01-06,313,0,0,0,"4,435.21",20,8191,86,20,14308,3229,944.800083,3,700.645666,0,937.566687,2,730.109883,0,414.741517,0,376.537549,0,190.239762,0,212.56659,1,186.940599,1,191.458245,0,262.679169,0,166.176525,0,165.946728,0,72.156452,0,92.483687,0,86.439301,0,82.474708,0,85.126429,0,34.913912,0,647.772999,1,33.4,0
2026-01-07,269,0,0,0,"4,297.70",30,8185,60,10,14539,3117,904.959409,0,1060.791277,1,887.602305,1,893.212884,0,475.74748,1,418.023145,0,182.280412,2,191.661359,0,169.960853,0,229.448749,0,310.430058,0,174.708193,0,253.208749,0,81.210652,0,88.573597,0,97.275903,0,74.223045,0,111.342603,0,40.494187,0,602.596044,0,69.002176,0
2026-01-08,248,0,0,0,"4,292.37",14,8148,68,11,15444,3137,901.867698,0,795.063338,9,883.357815,3,824.825488,2,538.616231,2,485.339269,0,204.277365,0,202.35939,4,204.308788,0,224.6057,0,249.061159,0,181.958788,0,182.210077,1,81.66149,0,88.914502,0,82.432693,0,85.045424,0,82.892674,0,25.763842,0,623.866261,0,39.485089,0
2026-01-09,277,0,0,0,"4,237.12",12,8120,58,11,14414,2906,774.203761,0,794.381968,2,729.805538,1,847.884775,0,457.799743,1,531.891892,0,219.249854,0,236.662789,1,309.398379,0,183.897291,0,241.611271,0,138.965555,1,117.361834,0,114.379985,0,73.368208,0,86.116292,0,66.975175,0,95.733683,0,27.724767,0,618.044205,0,43.032044,0
2026-01-10,287,0,0,0,"3,951.82",21,8053,59,15,15252,3222,809.191108,4,821.423441,3,817.334589,1,925.841831,0,477.486231,0,569.490612,1,217.563561,1,273.636251,0,240.049957,2,237.416858,0,259.275797,0,172.356065,0,166.454456,1,85.059652,0,86.526607,0,92.604373,0,88.636008,0,93.890373,1,31.269886,0,623.150387,1,34.579201,0
