date,rakuya_advance,criteo_spend,criteo_advance,rtbhouse_spend,rtbhouse_advance,rakuya_fb_dpa_advance_allzone_ASC_Campaign2_spend,rakuya_fb_dpa_advance_allzone_ASC_Campaign2_advance,rakuya_fb_dpa_advance_allzone_ASC_Campaign3_spend,rakuya_fb_dpa_advance_allzone_ASC_Campaign3_advance,rakuya_fb_dpa_advance_allzone_ASC_Campaign4_spend,rakuya_fb_dpa_advance_allzone_ASC_Campaign4_advance,rakuya_fb_dpa_advance_allzone2_spend,rakuya_fb_dpa_advance_allzone2_advance,South_15_KSC_spend,South_15_KSC_advance,Central_8_TCC_spend,Central_8_TCC_advance,South_14_TNC_spend,South_14_TNC_advance,North_2_NTPC_spend,North_2_NTPC_advance,North-4-TYC-spend,North-4-TYC-advance,Central-9-CHQ-spend,Central-9-CHQ-advance,North-0-TPC-spend,North-0-TPC-advance,South-12-CYC-spend,South-12-CYC-advance,Central-7-MLQ-spend,Central-7-MLQ-advance,South-13-CYQ-spend,South-13-CYQ-advance,Central-11-YLQ-spend,Central-11-YLQ-advance,South-17-PTQ-spend,South-17-PTQ-advance,Central-10-NTQ-spend,Central-10-NTQ-advance,North-6-HSQ-spend,North-6-HSQ-advance,North-1-KLC-spend,North-1-KLC-advance,East-18-TTQ-spend,East-18-TTQ-advance,North-3-ILQ-spend,North-3-ILQ-advance,North-8-HCC-spend,North-8-HCC-advance,East-18-HLQ-spend,East-18-HLQ-advance,South-16-PHQ-spend,South-16-PHQ-advance,Central-20-KMQ-spend,Central-20-KMQ-advance
2026-03-01,353,6817.12,20,5256.71,25,11274,77,0,0,0,0,3424,45,448.462442,3,361.488119,4,426.146246,4,344.993914,5,371.351839,3,197.827175,8,294.909799,0,245.30165,0,147.20936,2,150.92658,0,147.267039,0,151.778077,0,147.28066,0,100.329376,2,79.646588,0,81.6852,0,98.754435,0,78.986698,0,49.199877,0,47.727404,0,49.27,0
2026-03-02,328,5775.65,35,5919.83,19,11032,70,0,0,0,0,3150,40,459.224506,4,392.077815,0,422.433326,2,351.140385,3,420.557843,2,203.042111,0,249.495532,2,209.758238,0,100.279293,1,147.200159,2,146.82152,0,149.094096,1,116.893538,0,89.768615,1,85.0937,0,77.821761,1,87.260414,0,79.606025,0,49.078582,0,43.92,0,27.15,0
2026-03-03,267,4060.94,19,5904.5,23,10607,62,0,0,0,0,3279,27,417.918649,3,341.540607,5,363.927597,4,281.063687,2,389.376735,1,304.854934,0,194.953466,0,182.685555,2,102.456344,0,129.403567,0,145.627454,0,132.330224,1,138.438409,0,77.415511,0,57.384913,0,58.802371,0,74.056283,0,72.092752,0,45.21575,0,40.48,0,30.14,0
2026-03-04,279,3853.11,39,5426.4,25,10549,66,0,0,0,0,3223,19,518.21813,1,501.97623,0,387.556019,1,262.496491,2,516.016921,0,279.46388,0,167.505749,0,213.603788,4,104.235445,0,121.199764,0,144.813949,0,146.869552,2,215.381972,0,139.759318,0,64.242933,0,52.594043,0,113.583344,0,47.754742,0,58.452373,0,24.16,0,61.46,0
2026-03-05,358,3867.48,57,5767.58,40,9914,75,0,0,0,0,3083,26,525.21018,1,499.544224,0,610.300963,0,533.316939,0,499.808857,0,266.720855,0,411.416566,0,181.889803,0,108.757466,0,211.761451,2,170.457632,0,172.437322,0,155.008003,0,103.342802,0,79.36239,0,96.017461,0,133.615482,0,123.60432,0,55.921408,0,29.294397,0,39.59,0
2026-03-06,315,3416.23,51,5934.24,21,10923,62,0,0,0,0,3140,31,474.451602,2,579.140115,0,589.060313,1,372.443623,0,583.067082,0,259.531015,3,247.446062,0,215.346395,0,122.402068,1,178.501206,1,173.85434,0,178.494938,0,153.587921,0,106.547242,0,81.753903,0,119.559649,0,117.549149,1,104.22,0,59.702921,0,56.729124,0,54.35,0
2026-03-07,287,3246.22,26,5605.06,13,10604,63,0,0,0,0,3219,20,571.617685,7,535.379088,1,571.790473,2,406.682625,1,550.994275,0,228.467431,1,273.175101,0,226.532875,0,102.199222,1,136.915204,0,151.972941,0,152.89123,1,142.63569,1,122.120545,2,122.067573,0,87.676079,0,109.237412,0,77.487114,1,50.055087,2,50.280386,0,39.58,0
2026-03-08,337,5434.12,60,5733.14,33,11293,88,0,0,0,0,3359,34,534.345977,1,521.266539,0,551.495129,0,347.666707,1,529.675719,1,259.060964,0,254.278833,0,230.300643,0,101.345376,0,146.064277,0,149.988194,0,154.345356,0,149.869735,0,105.006602,1,88.758552,3,82.556295,0,104.476432,1,80.913546,0,50.217884,1,55.967269,0,51.72,0
2026-03-09,329,6752.01,58,5827.2,43,10605,79,0,0,0,0,3201,14,525.872887,5,493.667776,2,515.916659,1,404.353121,0,420.342506,0,264.944575,0,200.146503,0,205.123078,2,98.871487,1,136.938207,0,100.128608,0,144.194054,0,100.18918,0,98.545483,0,78.426064,0,78.16632,1,96.859314,0,77.46959,0,49.196449,0,46.673979,0,57.49,0
2026-03-10,258,3686.29,43,6108.93,17,10728,54,0,0,0,0,3216,21,505.519032,4,509.197828,5,506.455528,1,422.904829,2,419.338046,1,270.307561,0,206.10504,1,173.501984,0,90.915701,2,139.98699,0,100.932622,0,136.041185,0,102.649831,0,91.559391,0,74.693764,0,75.760154,0,88.313186,0,75.988345,0,50.601219,0,56.241223,1,47.42,0
