daties,cities,population,rakuyaPurchases,criteoDailyWeightAction,criteoDailyWeightspend,criteoDailyWeightSession,rtbhouseDailyWeightspend,rtbhouseDailyWeightAction,rtbhouseDailyWeightSession,Google_Ads_South_15_KSC_spend,Google_Ads_South_15_KSC_advance,Google_Ads_Middle_8_TCC_spend,Google_Ads_Middle_8_TCC_advance,Google_Ads_South_14_TNC_spend,Google_Ads_South_14_TNC_advance,Google_Ads_North_2_NTPC_spend,Google_Ads_North_2_NTPC_advance,Google_Ads_Middle_9_CHQ_spend,Google_Ads_Middle_9_CHQ_advance,Google_Ads_North_0_TPC_spend,Google_Ads_North_0_TPC_advance,Google_Ads_South_12_CYC_spend,Google_Ads_South_12_CYC_advance,Google_Ads_South_13_CYQ_spend,Google_Ads_South_13_CYQ_advance,Google_Ads_Middle_7_MLQ_spend,Google_Ads_Middle_7_MLQ_advance,Google_Ads_Middle_10_NTQ_spend,Google_Ads_Middle_10_NTQ_advance,Google_Ads_Middle_11_YLQ_spend,Google_Ads_Middle_11_YLQ_advance,Google_Ads_South_17_PTQ_spend,Google_Ads_South_17_PTQ_advance,Google_Ads_North_6_HSQ_spend,Google_Ads_North_6_HSQ_advance,Google_Ads_North_3_ILQ_spend,Google_Ads_North_3_ILQ_advance,Google_Ads_North_1_KLC_spend,Google_Ads_North_1_KLC_advance,Google_Ads_East_18_TTQ_spend,Google_Ads_East_18_TTQ_advance,Google_Ads_North_8_HCC_spend,Google_Ads_North_8_HCC_advance,Google_Ads_East_18_HLQ_spend,Google_Ads_East_18_HLQ_advance,Google_Ads_Middle_20_KMQ_spend,Google_Ads_Middle_20_KMQ_advance,Google_Ads_North_4_TYC_spend,Google_Ads_North_4_TYC_advance,Google_Ads_South_8_PHQ_spend,Google_Ads_South_8_PHQ_advance,rakuya_fb_dpa_advance_allzone_ASC_Campaign2_spend,rakuya_fb_dpa_advance_allzone_ASC_Campaign2_purchase_cityWeight,rakuya_fb_dpa_advance_allzone2_spend,rakuya_fb_dpa_advance_allzone2_purchase_cityWeight
2026-03-01,TPC,2465110,25.5925,2.111223814,719.6233044,2011.890734,554.9045668,2.639029768,377.3812568,1,0,1,0,1,0,1,0,1,0,294.909799,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,8.128211684,4.750253582,1190.096864,361.441517
2026-03-01,NTPC,4041120,54.3973,3.460985019,1179.69751,3298.145674,909.6697279,4.326231274,618.6510721,1,0,1,0,1,0,344.993914,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,13.32479232,7.787216292,1950.957255,592.5206352
2026-03-01,KLC,361050,3.4594,0.3092183952,105.3989453,294.6696697,81.2735715,0.3865229939,55.27278813,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,139.306906,0,1,0,1,0,1,0,1,0,1,0,1,0,1.190490821,0.6957413891,174.3064094,52.93818925
2026-03-01,TYC,2332150,41.4069,1.997351282,680.8091685,1903.375904,524.9748228,2.496689102,357.0265416,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,430.606735,1,1,0,7.689802435,4.494040384,1125.906918,341.9465394
2026-03-01,HCC,457320,7.3071,0.3916680694,133.5024115,373.2400868,102.9442729,0.4895850868,70.01066741,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,79.031286,0,1,0,1,0,1,0,1,0,1.507922067,0.8812531563,220.7832907,67.05357349
2026-03-01,HSQ,593210,10.8018,0.508049977,173.171883,484.1462256,133.5335697,0.6350624712,90.81393339,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,107.736038,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1.955992411,1.143112448,286.387772,86.97815606
2026-03-01,ILQ,448110,6.8482,0.3837802383,130.8137969,365.7233781,100.8710708,0.4797252979,68.6007176,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,116.462489,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1.477553918,0.8635055363,216.3369204,65.7031768
2026-03-01,TCC,2854310,63.4341,2.444551052,833.2398935,2329.534925,642.5147981,3.055688816,436.9635006,1,0,361.488119,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,9.411521552,5.500239868,1377.993428,418.5071402
2026-03-01,MLQ,531090,11.7549,0.454847798,155.0376011,433.4472091,119.5501484,0.5685597476,81.3040439,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,147.20936,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1.751164022,1.023407546,256.3977038,77.86994303
2026-03-01,CHQ,1224190,12.0373,1.048447769,357.3697129,999.1183019,275.5692937,1.310559712,187.4100388,1,0,1,0,1,0,1,0,197.827175,8,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4.036523912,2.359007481,591.0100077,179.4942581
