id,geo,time,advance,totalSessions,organicSearchSessions,channel0_impression,channel1_impression,channel2_impression,channel3_impression,channel4_impression,channel0_spend,channel1_spend,channel2_spend,channel3_spend,channel4_spend
1,National,2025-01-01,660,133308,48117,214499,235775,223680,205374,246810,140000,140000,70000,70000,50000
2,National,2025-01-02,721,143977,62820,202999,235404,229874,226576,225728,140000,140000,70000,70000,50000
3,National,2025-01-03,812,146332,62446,214712,228404,219073,225260,232057,140000,140000,70000,70000,50000
4,National,2025-01-04,1016,139338,59042,245853,235285,200316,241531,219735,140000,140000,70000,70000,50000
5,National,2025-01-05,884,142015,61481,222391,223709,248669,224239,201504,140000,140000,70000,70000,50000
6,National,2025-01-06,834,149064,68419,203405,206084,226837,232604,237655,140000,140000,70000,70000,50000
7,National,2025-01-07,799,158473,66656,228625,228261,209721,213287,213873,140000,140000,70000,70000,50000
8,National,2025-01-08,768,147909,62587,238814,222832,213761,235220,231374,140000,140000,70000,70000,50000
9,National,2025-01-09,832,142048,64545,225174,230397,237110,234577,204692,140000,140000,70000,70000,50000
10,National,2025-01-10,692,147439,58818,206014,229631,230544,247707,224788,140000,140000,70000,70000,50000
11,National,2025-01-11,826,121598,50334,229276,226941,249683,222666,249535,140000,140000,70000,70000,50000
12,National,2025-01-12,811,125975,52212,226131,201924,226137,213718,217859,140000,140000,70000,70000,50000
13,National,2025-01-13,759,144464,64083,211364,247799,205324,208158,235243,140000,140000,70000,70000,50000
14,National,2025-01-14,780,146807,62766,217223,246029,248688,238117,245817,140000,140000,70000,70000,50000
15,National,2025-01-15,629,135715,57253,208540,226216,234087,226961,201629,140000,140000,70000,70000,50000
16,National,2025-01-16,573,128382,56430,229152,201913,232010,210445,223240,140000,140000,70000,70000,50000
17,National,2025-01-17,681,130835,54040,229799,204492,206454,226873,244635,140000,140000,70000,70000,50000
18,National,2025-01-18,728,118243,49199,240517,231731,241619,208006,229639,140000,140000,70000,70000,50000
19,National,2025-01-19,702,123999,54107,203999,221882,227267,220173,231516,140000,140000,70000,70000,50000
20,National,2025-01-20,618,135029,59150,222142,217080,216109,234404,237784,140000,140000,70000,70000,50000
21,National,2025-01-21,717,136797,56140,210241,236329,241241,223020,223351,140000,140000,70000,70000,50000
